ID  ,问题                                                                                                                                                                    ,答案
1751,老师好，想问一下美术类综合分519排位3806有机会上贵校吗                                                                                                                                        ,"建议冲一冲，服从专业调剂。后面填下其他院校。
"
1752,贵校今年在河北有小语种招生计划吗？如果有，有哪些科目？河北考生，物理组，578分，24508位有希望被录取吗？                                                                                                               ,"你好！我校在河北有招生西班牙语。建议冲一冲。
"
1753,平行志愿，提档后会退档吗，山东填报志愿无服从调剂选项                                                                                                                                            ,"你好！提档后如果身体符合录取要求，则提档不退档。
"
1754,您好！请问广东物理考生排位九万，超地方专项线24分，想冲刺贵校的地方专项名额，可行吗？谢谢！                                                                                                                        ,"你好！地方专项每年的变化都比较大，建议大胆填报。
"
1755,请问一下排位在29637可以被贵校的汉语言文学的地方专项录取的概率有多大                                                                                                                                  ,"您好！我校2020年文科录取最低排位是12000。建议你将汕大的历史类专业组填在第一位置，冲一冲
"
1756,对专业没有要求，537分，85120名，有机会进汕大吗？                                                                                                                                          ,"你好！我校2020年理科录取最低排位49000，供您参考！
"
1757,本科生能有哪些比较好的增长阅历的机会吗？比如出国交换这些                                                                                                                                          ,"你好！我校目前有和27个国家和地区103所高校签订了协议或备忘录，简历密切的学术交流合作关系，学生出国交流等的机会非常的多。
"
1758,您好，如果被贵校提档，考生选择专业服从，且身体条件符合，但未达到自己所选专业分数线，有没有可能被退档？                                                                                                                   ,"如果被提档，身体条件符合专业录取要求，且服从专业调剂。不退档。
"
1759,为什么系统上找不到汕头大学医学院的招生简章的？                                                                                                                                               ,"你好！医学院招生简章可以在医学院官网查询。
"
1760,省排52000可以冲吗                                                                                                                                                           ,"你好！可以的。
"
1761,广东文科排位10844贵校法学院稳吗法学院分配的宿舍情况如何                                                                                                                                        ,"你好！这个排位根据近三年的录取情况来看，建议你服从专业调剂。法学院是安排在过渡校区住宿的。
"
1762,你好，想问问贵校的东海岸校区今年是否招收广东历史类考生？该校区有什么专业？                                                                                                                                 ,"你好！东海岸校区尚未启用。
"
1763,河南理科考生，590分，省位次33462，超省分数线72分，能有幸被贵校医学系录取吗?可以报临床医学、口腔、眼科、基础医学哪个专业，医学系内服从调剂。                                                                                           ,"你好！我校2020年理科最低排位是55000左右。按照你的排位，被录取机会很大。但是医学的专业每年都比较热门。
"
1764,您好！1.高校今年是否在海南招生？2.招生的话会开设哪些专业？3.在海南641分排名4913能否上贵校？                                                                                                                  ,"你好！我校今年在海南第一年招生，具体招生专业详见我校本科招生网zs.stu.edu.cn。由于是第一年招生，无法预估录取情况。建议你第一志愿报考。
"
1765,湖南理科562能录取到贵校吗                                                                                                                                                        ,"你好！2020年我校湖南理科最低排位在19000左右，供你参考。
"
1766,老师您好！我想咨询下，最后将选好的专业组进行志愿排序时（即哪个专业组放在第一志愿第二志愿等等），是按照这三年最低排位的平均值来排序志愿还是按照上一年最低排位来排序志愿呢？感谢老师！                                                                            ,"建议参考近三年会比较好。
"
1767,你好，我排位78530（物理考生），能否报贵校定向临床医学                                                                                                                                         ,"你好！可以报考，由于在提前批录取，临床医学定向的录取最低排位比较难以预估。
"
1768,你好，我的排名是78530，能否报考贵校的临床医学                                                                                                                                             ,"你好！这个排位无法报考。
"
1769,560能冲贵校吗                                                                                                                                                              ,"你好！请问排位是？我校2020年理科录取最低排位是49000.供您参考。
"
1770,我是上海考生，排名在31200，有希望被录取吗？贵校是免学费吗？广州这边如果疫情严重，会影响开学吗                                                                                                                     ,"你好！今年我校第一年在上海招生，录取分数无法预估，建议你第一志愿报考。目前我校实行本科学费全额奖励计划，2019-2022年所有入校的学生本科阶段学费全额奖励。目前暂时没有收到开学延期的通知。
"
1771,贵校理工类的宿舍条件如何，一个宿舍住几个人，宿舍和教室有空调吗                                                                                                                                       ,"你好！我校今年新生将分别安排在过渡校区以及校本部，宿舍和教室都有空调。住宿分为4-8人间。
"
1772,请问贵校的志愿填报有专业级差吗？                                                                                                                                                      ,"没哟。
"
1773,在韶关没有招生计划？                                                                                                                                                            ,"你好！具体请查询专业目录。
"
1774,您好四川文科考生585省排4006被贵校法学专业录取机率大吗？                                                                                                                                       ,"你好！有机会被我校录取。建议服从专业调剂。法学专业的录取几率无法预估。
"
1775,广东省理科生544分，计划报考定向，临床医学，请问录取的概率有多大                                                                                                                                     ,"你好！建议直接咨询医学院招生办0754-88900467.
"
1776,如果勾选了服从调剂还会被退档吗                                                                                                                                                       ,"你好！如果投档进入我校，符合专业录取要求，且服从专业调剂的，不退档。
"
1777,581分，排位38103，有多大几率被法学录取                                                                                                                                               ,"你好！我校2020年文科录取最低排位在12000.供你参考。
"
1778,广东省考生，历史类，分数557排位15287，能冲吗                                                                                                                                            ,"你好！建议你将汕大填在第一志愿，服从专业调剂，冲一冲。后面再填其他院校。
"
1779,园林专业是否需要在入学前具备一定的美术基础，一定的美术基础具体在什么程度？                                                                                                                                 ,"你好！我校没有园林专业。
"
1780,你好，广东物理排名60573，分数558，录取可能性大吗                                                                                                                                          ,"你好！建议你将汕大填在第一位，冲一冲。
"
1781,请问计算机科学与技术这个专业，在辽宁的位次，或分数，该专业数学和物理学科要求的高吗                                                                                                                             ,"你好！我校今年第一次在辽宁招生，暂无法预估录取排位。
"
1782,物理类的省排位7万9千多可以冲一下贵校吗                                                                                                                                                  ,"你好！我校2020年理科录取最低排位是49000.供您参考。
"
1783,湖北考生597，位次17186—17580，录取可能性大吗？                                                                                                                                        ,"录取机会比较大，建议第一志愿填报，并服从专业调剂。
"
1784,广东历史考生排名4万9百，如果报贵校医学院的护理学，录取率大吗？                                                                                                                                      ,"你好！今年护理学历史类在广东省计划招生16人。且往年在提前批录取，无法预估准确排位。
"
1785,请问地方专项报考贵校是否有特定的专业报考？如果有，请问有什么专业？需要怎样填报？                                                                                                                              ,"你好！地方专项的招生专业在招生专业录取中已进行了标注。或可登陆我校招生信息网zs.stu.edu.cn查询。
"
1786,请问转专业对成绩有什么要求？有什么限制条件吗？成功概率大概是多少？谢谢                                                                                                                                   ,"你好！各个专业的转专业要求主要以成绩考核为主。
"
1787,在您学校网站查不到上海历年录取分数，该如何填报？位次在20819                                                                                                                                      ,"你好！我校今年第一次在上海招生，因此无法查询到往年录取情况。建议第一志愿填报。
"
1788,请问广东省物理考生，分数544，排名76074，有希望报考贵校吗？                                                                                                                                     ,"你好！我校2020年理科录取最低排位49000名，供您参考。
"
1789,"""如果我报考贵校的第一个专业没有被录取"                                                                                                                                                ,"那么接下来会怎么处理"""
1790,广东文科考生509分43302名有机会被贵校录取英语师范专业吗？                                                                                                                                      ,"你好！我校2020年录取最低排位是12000名，供你参考。
"
1791,汕头大学医学院今年打算招收多少广东考生                                                                                                                                                   ,"你好！我校招生计划详情可登陆zs.stu.edu.cn查询。
"
1792,您好，请问东校区今年的招生的计划大致是怎么安排？                                                                                                                                              ,"你好！东海岸校区尚未正式启用。
"
1793,广东理科生，85947名，可以报读贵校吗？什么专业组录取机会大？                                                                                                                                      ,"你好！我校2020年理科录取最低排位49000，供你参考。
"
1794,广东物理类考生排位17.4万位，有机会被护理专业录取吗？                                                                                                                                          ,"你好！护理学去年在提前批次录取，今年在本科批次。建议大胆填报，冲一冲。
"
1795,物理类576被汕大录取机会大吗?                                                                                                                                                      ,"你好！这个位次可以选择大部分专业。建议第一志愿报考，并服从专业调剂。
"
1796,请问一下，文科生如果服从调剂，541分有机会冲一下吗？                                                                                                                                           ,"你好！我校2020年文科录取最低排位12000名，可以将汕大填在第一位，服从专业调剂，冲一冲。
"
1797,请问今年还有学费全额奖励计划吗？                                                                                                                                                      ,"你好！有的。
"
1798,河南理科561，一本线超43，排名61408，有希望报告贵校理工科类专业吗？如果被调剂，有机会转专业吗？谢谢                                                                                                                ,"你好！建议冲一冲。我校有三次申请转专业的机会。
"
1799,你好，广东理科排名16万左右，有机会被贵校吗？                                                                                                                                               ,"您好！2020年汕头大学理科最低排位是42438.供你参考。
"
1800,广东总分559排名14420录取几率大吗                                                                                                                                                  ,"你好！建议冲一冲，服从专业调剂。
"
1801,1.贵校需要校考才能报考吗？只参加了统考2.如果不需要，重庆美术统考240（满300）文化485投档分226.2（排名625）冲设计学有多大录取概率？顺便想问一下近几年贵校在重庆的最低录取分                                                                       ,"你好！我校在重庆没有美术类的招生计划。
"
1802,按去年的最低分差，43分能上汕大吗                                                                                                                                                     ,"可以冲一冲。具体需结合报考专业往年的情况。。
"
1803,2021年江苏考生，物理类预估590分，省内位次2.5万名左右，不想填服从调剂，录取贵校的临床5年制专业希望大吗？多谢回复！                                                                                                        ,"您好！今年是第一年新高考改革，过往数据参考意义有限。如想增加被录取几率，建议是服从专业调剂。
"
1804,请问入学后，可以转专业吗？如可以，转专业的条件和次数如何规定？谢谢                                                                                                                                     ,"符合学校转专业要求的，可以根据学校通知申请。
"
1805,请问贵校今年招收云南的文史类考生吗？                                                                                                                                                    ,"您好！我校今年在云南没有招生计划。
"
1806,有专业级差吗？                                                                                                                                                               ,"我们不设专业级差。过渡校区在汕头大学斜对面汕头市金平区大学路叠金工业区汕头市卫生学校（汕头大学斜对面）
"
1807,考研率是多少，有专业级差吗？学费全免吗？                                                                                                                                                  ,"我们不设专业级差。你这个分数参考往年录取情况，有希望被录取。今年2020级仍可享受本科学费全额奖励计划。
"
1808,老师你好，我想问一下，如果我报了汕头大学医学院的专业上不了的话，会不会被调剂到汕头大学的其他专业。                                                                                                                     ,"不会。汕头大学（10560）和汕头大学医学院（80001）在广东省招生是不同的代码。
"
1809,您好我看近三年安徽文科录取分数线波动较大请问超一本分数线多少分左右服从调剂可以被贵校录取                                                                                                                          ,"建议参考近三年我校在安徽文科的录取超分平均分。
"
1810,你好江苏文科359选修双A有希望报考贵校文科专业吗服从调剂                                                                                                                                         ,"您好！有希望，建议A志愿填报，服从专业调剂。后面填其他院校保底。
"
1811,文科501有希望进贵校吗？                                                                                                                                                         ,"您好！我校在河南录取最低分超一本线42分
"
1812,河南理科27220位次报考本校会被录取吗？                                                                                                                                                 ,"您好！我校2019年河南理科录取最低分超一本线74分，供您参考。
"
1813,641临床医学5+3（两种）有希望被录取吗？没查到往年分数线😂😂谢谢                                                                                                                                  ,"您好！我校河南理科去年录取最低分超一本线74分，因省外计划数投放较少，专业报考难以预估。
"
1814,老师你好，我想问一下广东排位25360能不能上贵校医学院临床专业？                                                                                                                                     ,"您好！这个排位报临床专业估计需要冲一冲。
"
1815,老师你好，河南理科617，位次29485，有机会被贵校录取吗                                                                                                                                        ,"您好！参考往年录取情况，建议A志愿填报，服从专业调剂。后面填其他院校保底。谢谢关注！
"
1816,广西的美术生文化分347统考分269有机会被录取吗                                                                                                                                             ,"我校2019年广西艺术类录取最低综合分560.5.供您参考！
"
1817,贵校调档比例为微调，理论上讲有一定的投档生按贵司规则将被退档（因招满退档），想冲一冲的考生敢投贵司吗？                                                                                                                   ,"投档是由各省考试院操作，想冲一冲报考我校的考生，可在院校志愿后填报其他院校保底。
"
1818,您好，请问未参加英语口语考试可以报考贵校英语专业吗？                                                                                                                                            ,"我校英语专业没有限制报考条件。
"
1819,您好！文科音乐生专业255，文化444有希望读贵校吗？                                                                                                                                           ,"您好！我校没有音乐专业。
"
1820,请问四川613分，19028名，能不能稳妥的上贵校啊                                                                                                                                            ,"参照往年录取情况，录取机会比较大。建议A志愿填报，服从调剂。增加录取几率。
"
1821,您好，请问贵校调档后(已选服从专业调剂)，是否还有退档可能？                                                                                                                                        ,"如果考生有不符合专业录取要求（例如体检不合格等）等其他规定的情况，依然有退档可能。
"
1822,"""您好，广东考生理科531，排名73040，请问能被贵校录取吗？服从专业调剂"                                                                                                                             ,"谢谢！"""
1823,老师您好!广东文科557，排位11296，可否填报贵校                                                                                                                                           ,"建议A志愿填报，服从调剂。
"
1824,请问，湖北文科576，有希望被贵校录取吗？                                                                                                                                                 ,"您好！根据往年我校录取情况，有希望被录取。建议A志愿填报，服从调剂。
"
1825,贵校历届音乐生分数线                                                                                                                                                            ,"您好！我校没有音乐专业。
"
1826,老师，你好，河南理科生，561/87000位，服从调剂有没有可能被录取？若被录取，转专业好转吗？谢谢老师                                                                                                                  ,"您好！我校2019年在河南录取最低分超一本线74分，供参考。
"
1827,文科586有机会冲该校吗                                                                                                                                                          ,"您好！由于我校2019年在河北文科最低分超一本线42分。供您参考！
"
1828,您好，请问今年广东理科生587分可以被贵校录取吗？若能被录取有望报考哪些专业？                                                                                                                               ,"您好！很大机会被录取。如A志愿填报，录取机会更大。具体报考专业可以登录zs.stu.edu.cn查询各个专业往年录取情况。
"
1829,湖北文科考生5753908名可以录取吗？                                                                                                                                                  ,"您好！建议A志愿填报，服从调剂，增加录取机会！
"
1830,老师汕头大学临床医学为什么没在福建招生                                                                                                                                                   ,"您好！暂时没有安排招生计划。谢谢关注！
"
1831,河北文科601能否被贵校录取                                                                                                                                                        ,"您好！由于我校2019年在河北文科最低分超一本线42分。供您参考！
"
1832,您好：我是广东考生，理科成绩570分，省排名38455，能上贵校的会计学专业吗？若服从调剂是调剂到同类的其他专业还是跨专业调剂？另入校后转专业成功的几率有多大？                                                                                      ,"您好！会计学专业去年大约录取到4万名左右。服从调剂将根据未录满计划的专业进行安排。转专业我们没有统计成功率，具体视各转入专业要求而定。谢谢！
"
1833,在广东省的最低控分线是多少                                                                                                                                                         ,"2019年我校理科录取最低分531，排位42486
"
1834,请问提前批进入学校的可以转专业吗                                                                                                                                                      ,"您好！原则上不可以。
"
1835,进入全英班有什么好处，有学校资助的出国留学的机会吗？                                                                                                                                            ,"全英班指的是教学语言以英语教学为主。学校有各种类型的出国留学项目，你可以到官网查询。
"
1836,分数536广东省排名68404，定向临医有可能吗？然后定向是比普通志愿提前批的吗，如果我定向龙湖金平澄海，不服从调剂，如果不被录会滑档吗                                                                                                  ,"您好！有关定向临床医学的具体问题，您可以致电0754-88900461咨询医学院。
"
1837,请问广东省文科考生今年省排38000多，有机会报考贵校吗                                                                                                                                          ,"您好！我校2019年文科录取最低排位在11475。供您参考！
"
1838,581分理科，30866能上贵校的临床医学或者麻醉，口腔吗若服从调剂入校后转专业成功的几率有多大                                                                                                                      ,"您好！我校2019年医学普通类专业录取在25000左右。供您参考！
"
1839,今年在广东是否会旷招，还是怎么样?                                                                                                                                                     ,"您好！我们学校今年招生规模基本与2019年一致。
"
1840,广东567分，排位40458名可以上贵校吗？                                                                                                                                                ,"您好！建议A志愿填报汕头大学，并选择服从专业调剂。
"
1841,一：请问贵校今年在安徽计划招生几人？二：文科549分全省15482名有机会上贵校吗？                                                                                                                            ,"您好！我校在安徽计划招生37人，其中文科13，理科34我们2019年在安徽省文科录取超一本线33人。供您参考。
"
1842,广东排位两万八，通过地方专项进入贵校报读临床医学的几率大吗？（希望回复报考建议）                                                                                                                              ,"您好！我校医学院在广东省内录取招生代码是80001。有关地方专项的问题您可以直接直接电话0754-88900467.
"
1843,广东理科541有机会被录取吗？                                                                                                                                                       ,"您好！建议A志愿填报，服从专业调剂。后面填排位靠后的其他院校。
"
1844,汕头大学认可独生子女加分吗                                                                                                                                                         ,"有关加分或照顾录取政策，在各省份执行各省（区、市）招生办公布的加分项目及分值。加分分值适用于投档及专业分档。符合国家和省（区、市）招生办公室公布的优录条件考生，本校在同等条件下优先录取。对考生学业水平成绩的要求，按各省（区、市）有关规定执行。
"
1845,1.高考分数541，省排六万，能上贵校吗，有什么好的建议呢2.今年在广东省内招收多少人3.专业的排序是否会有加减分4.服从专业调剂后，想转专业，能否转到心仪的专业                                                                                     ,"1.高考分数541，省排六万，能上贵校吗，有什么好的建议呢 您好！我校2019年理科录取最低排位42000.建议您A志愿填报我校，并服从专业调剂。冲一冲。2.今年在广东省内招收多少人我校今年在广东省计划招生2447。3.专业的排序是否会有加减分我校专业录取不设级差。4.服从专业调剂后，想转专业，能...[详细]
"
1846,地方专项有什么限制吗？                                                                                                                                                           ,"地方专项的相关要求，建议您查阅广东省考试院网站和我校相关招生章程
"
1847,湖北理科593分能被录取吗？                                                                                                                                                        ,"您好！有机会被我校录取，建议A志愿填报汕头大学，并服从专业调剂。
"
1848,请问贵校是否有日语专业？口腔医学是否招收文科生？谢谢                                                                                                                                            ,"您好！我校没有日语专业。口腔医学不招文科生。
"
1849,老师好，请问贵校具体免哪些费用？可以详细介绍一下吗？是不是只免学费？住宿费等其他费用有免费吗？                                                                                                                       ,"您好！本科生学费全额奖励计划是针对被我校录取的学生本科阶段学费全额奖励。该计划只针对学费。住宿费等其他费用没有免费。
"
1850,请问贵校对学业水平有什么要求吗？两个c一个d可以报考贵校吗？                                                                                                                                        ,"您好！有关学业水平要求如下，具体亦可以查询我校招生章程。在广东省，报考本校本科层次普通类专业，文科类考生必须参加普通高中学业水平物理、化学、生物学3门科目的考试，理科类考生必须参加普通高中学业水平思想政治、历史、地理3门科目的考试，各门考试均须获得等级成绩；且至少须有2门科...[详细]
"
1851,汕大提前批2019的临床医学专业分数线是多少？提前批是卫生专项订单吗？卫生专项订单学费由国家补贴，学生还能不能享受等额学费的专项助学金？                                                                                                  ,"汕大提前批2019的临床医学专业分数线是多少？ 2019年临床医学卫生专项录取的最低分是479分。提前批是卫生专项订单吗？临床医学卫生专项在广东省的提前批次招生。卫生专项订单学费由国家补贴，学生还能不能享受等额学费的专项助学金？2019级没有，因为他们都免学费了。
"
1852,临床医学的全英预备班的5+3和无标注的临床医学5+3有什么区别？为什么我在贵校的招生官网上看不到2019年的录取分数和排名呢？                                                                                                       ,"您好！我校临床医学的全英预备班的5+3和无标注的临床医学5+3专业的具体介绍，您可以查阅我校今年招收专刊。或登录https://zs.stu.edu.cn/Channel.aspx?Channel_ID=220查询。具体分数和排位可以在https://zs.stu.edu.cn/Channel.aspx?Channel_ID=220查询。
"
1853,请问贵校去年美术类录取线多少？                                                                                                                                                       ,"您好！汕头大学2019年在山东录取美术类考生中，术科最低分245.33分，文化分最低分393分，最低录取综合分：556.395分。
"
1854,您好，请问贵校是否招广东省的音乐考生？是以校考形式还是以统考+文化分成绩录取？招生简章是否已发布？                                                                                                                     ,"您好！我校没有音乐专业。谢谢关注！
"
1855,请问贵校今年在陕西有美术生的招生计划吗？                                                                                                                                                  ,"您好！我校在陕西暂无招生计划。谢谢关注！
"
1856,请问贵校在湖北招民族民间舞考生吗？有招生计划吗？承认联考统考成绩吗？                                                                                                                                    ,"您好！我校在湖北没有招收民族民间舞考生。
"
1857,请问贵校对美术生文科的单科成绩有没有要求，比如语数英，谢谢                                                                                                                                         ,"您好！我校对单科成绩没有要求。谢谢关注！
"
1858,我是广西音乐统考229分理科文化需要多少分有希望？要求身高吗？                                                                                                                                       ,"您好！我校没有音乐专业。谢谢关注！
"
1859,我是一名美术生，系理科，想报考贵校，不知道是否有招生计划                                                                                                                                          ,"您好！今年的招生计划尚在申报中，请耐心等候，留意我校本科招生信息网最新通知zs.stu.edu.cn
"
1860,2019年山东美术生是按校考录取的吗？？还是联考，按几比几录取？今年又是什么情况                                                                                                                              ,"您好！我校录取规则如下，供参考！https://zs.stu.edu.cn/ZSZC_Detail.aspx?Content_ID=799录取规则艺术类（美术类）专业录取规则是：对高考文化成绩、统考专业成绩都达到生源省（区）录取控制分数线且非色盲的根据各省（区）投档规则出档的考生，分专业录取时，按照“分数优先”原则，即根据...[详细]
"
1861,您好，贵校今年河北省有招生计划吗，音乐学丶音乐教育、音乐表演长笛河北招几人，建议多少分填志愿                                                                                                                        ,"您好！我校没有音乐相关专业。
"
1862,我美术联考233文科生请问文化至少多少分才能大概率被录取                                                                                                                                          ,"你好！2019年汕大在广东省艺术类的最低录取综合分是514分。供您参考！录取规则艺术类（美术类）专业录取规则是：对高考文化成绩、统考专业成绩都达到生源省（区）录取控制分数线且非色盲的根据各省（区）投档规则出档的考生，分专业录取时，按照“分数优先”原则，即根据考生综合分从高到低顺...[详细]
"
1863,我想咨询贵校美术生会在哪个校区，美术生是否包含在免学费受益者中                                                                                                                                       ,"您好！目前我校艺术学院学生都在校本部。我校自2019年起实施本科生学费全额奖励计划，该计划是李嘉诚基金会捐资在汕头大学设立的专项奖助学金。首期奖励计划的对象为2019级至2022级本科生，包括四年制专业和临床医学、口腔医学等五年制专业。主要奖励支持这四个年级的汕大本科学生在校修读完...[详细]
"
1864,老师我想咨询一下，我是江西美术生，联考成绩是372如果想考你们大学的美术专业，文化分要多少呢                                                                                                                        ,"你好！我们2018年开始没有在江西省招收美术生，且近两年是以综合分录取。无法提供近两年的分数线供你参考。谢谢关注！
"
1865,请问贵校收日语美术生吗？统考成绩219可以考贵校吗                                                                                                                                             ,"你好！我们对外语没有限制。2019年汕大在广东省艺术类的最低录取综合分是514分。供您参考！录取规则艺术类（美术类）专业录取规则是：对高考文化成绩、统考专业成绩都达到生源省（区）录取控制分数线且非色盲的根据各省（区）投档规则出档的考生，分专业录取时，按照“分数优先”原则，即根据...[详细]
"
1866,请问美术本科招生，美术联考分数要求多少？                                                                                                                                                  ,"你好！2019年汕大在广东省艺术类的最低录取综合分是514分。供您参考！录取规则艺术类（美术类）专业录取规则是：对高考文化成绩、统考专业成绩都达到生源省（区）录取控制分数线且非色盲的根据各省（区）投档规则出档的考生，分专业录取时，按照“分数优先”原则，即根据考生综合分从高到低顺...[详细]
"
1867,老师您好！我是湖南一名美术生，联考240，文化特别差。因此我想咨询一下，贵校今年在湖南美术设计方面招生人数大约是多少？还有今年对于文化录取分数线是否会降低？                                                                                        ,"您好！今年我校在湖南省的招生人数尚未确定。2019年我校在湖南省未有招生计划。录取分数线需要等到录取时才确定，现在采取综合分的方式录取。详情请登录我校本科招生信息网查询招生简章。
"
1868,你好，如果四川联考230，文化要多少分才有可能被贵校录取                                                                                                                                          ,"你好！我校2019年在四川省未有招生计划。2020年的招生计划详情请留意我校本科招生信息网zs.stu.edu.cn最新消息。谢谢关注！
"
1869,你好，如果文科艺术生专业分刚过线，需要多少文化分能够报考汕大？                                                                                                                                       ,"你好！2019年汕大在广东省艺术类的最低录取综合分是514分。供您参考！录取规则艺术类（美术类）专业录取规则是：对高考文化成绩、统考专业成绩都达到生源省（区）录取控制分数线且非色盲的根据各省（区）投档规则出档的考生，分专业录取时，按照“分数优先”原则，即根据考生综合分从高到低顺...[详细]
"
1870,1.听说汕大由李嘉诚先生资助，学费全免？2.再就是艺术生学费很贵有减免政策吗？或者有针对艺术生的奖学金？3.王受之先生还在设计学院亲自上课吗？非常感谢老师回答！                                                                                      ,"您好！我校自2019年起实施本科生学费全额奖励计划，该计划是李嘉诚基金会捐资在汕头大学设立的专项奖助学金。首期奖励计划的对象为2019级至2022级本科生，包括四年制专业和临床医学、口腔医学等五年制专业。主要奖励支持这四个年级的汕大本科学生在校修读完成本科所有课程。每年的捐资额度依...[详细]
"
1871,您好我想咨询一下贵校今年有招河南美术生的计划吗？如果有的话那专业课119文化课考多少有几率进入贵校，可报考贵校的什么专业？                                                                                                         ,"您好！2019年我们只在广东、广西、山东、江苏、浙江、湖北六个省份招收美术生。今年的计划暂时还没确定。请您留意我们官网zs.stu.edu.cn的最新通知。
"
1872,除了学贵，另外还有什么补助吗？                                                                                                                                                       ,"您好！我校自2019级开始实施本科生学费全额奖励计划，该是李嘉诚基金会捐资在汕头大学设立的专项奖助学金。首期奖励计划的对象为2019级至2022级本科生，包括四年制专业和临床医学、口腔医学等五年制专业。主要奖励支持这四个年级的汕大本科学生在校修读完成本科所有课程。每年的捐资额度依据...[详细]
"
1873,老师下午好！广东文科568分，排位9451，请问贵校语言类专业有希望吗？                                                                                                                                  ,"有机会。
"
1874,您好我想请问贵校在填报专业时是否存在专业级差                                                                                                                                                ,"我们不设专业级差
"
1875,你好，分数574，排名7386，有机会被贵校的网络与新媒体专业录取嘛？                                                                                                                                   ,"有机会。
"
1876,如题                                                                                                                                                                    ,"根据往年的情况而言，如果服从调剂且身体要求符合专业的话，没有退档的情况。
"
1877,您好，我是来自江西省的文科考生，高考成绩为589分，在全省排名为2766，被汕头大学录取的可能性大吗？被调剂的可能性大吗？可以将汕头大学作为冲一冲吗？                                                                                           ,"2018年江西文科录取分数在610左右，建议您查询往年相应的排位进行比对，若您的排位在附近的话，有可能报考成功。建议填报服从调剂以免退档。
"
